n,dist,rho,sk,alpha_F
250,beta,-1,1,55.4391328376879
250,beta,-1,1,40.97971813529116
250,beta,-1,1,42.05289717892763
250,beta,-1,1,40.23461122846043
250,beta,-1,1,36.19204286295461
250,beta,-1,1,51.63680137305964
250,beta,-1,1,39.11772226576886
250,beta,-1,1,48.52701532502619
250,beta,-1,1,38.26170793107457
250,beta,-1,1,48.55163697902073
250,beta,-1,1,40.040087967799536
250,beta,-1,1,47.244900755802874
250,beta,-1,1,43.51584856700049
250,beta,-1,1,45.46541717116262
250,beta,-1,1,40.90453080941912
250,beta,-1,1,45.25117140868638
250,beta,-1,1,38.098795021942344
250,beta,-1,1,36.3679262148617
250,beta,-1,1,45.90636110727363
250,beta,-1,1,34.51853068928848
250,beta,-1,1,39.24538925298439
250,beta,-1,1,42.49215566822684
250,beta,-1,1,38.51258068241222
250,beta,-1,1,45.19282582387607
250,beta,-1,1,37.318495022881436
250,beta,-1,1,48.0095655247851
250,beta,-1,1,44.15917788442756
250,beta,-1,1,49.05775967303193
250,beta,-1,1,35.61522194298952
250,beta,-1,1,46.58106949412541
250,beta,-1,1,47.77294942589385
250,beta,-1,1,49.64934576810759
250,beta,-1,1,33.87350513092677
250,beta,-1,1,42.6880457440599
250,beta,-1,1,38.92172292707147
250,beta,-1,1,34.8793261603247
250,beta,-1,1,43.23521877765059
250,beta,-1,1,52.445137602133386
250,beta,-1,1,51.297378543174744
250,beta,-1,1,41.841073543030696
250,beta,-1,1,52.17735964134496
250,beta,-1,1,42.19101783832825
250,beta,-1,1,40.831228541607864
250,beta,-1,1,40.738189990831245
250,beta,-1,1,43.34899074603702
250,beta,-1,1,37.018540891823584
250,beta,-1,1,35.823024472623345
250,beta,-1,1,40.656200706134605
250,beta,-1,1,40.22676115870064
250,beta,-1,1,61.57681420422747
250,beta,-1,1,39.59031424452978
250,beta,-1,1,47.47652153259169
250,beta,-1,1,41.19080202299624
250,beta,-1,1,45.00297237601287
250,beta,-1,1,51.60159057520749
250,beta,-1,1,39.65393867341186
250,beta,-1,1,36.24649088151443
250,beta,-1,1,40.66751191825404
250,beta,-1,1,48.906660358859995
250,beta,-1,1,32.898937854193505
250,beta,-1,1,43.694835181165146
250,beta,-1,1,32.57342926523269
250,beta,-1,1,36.552873190706926
250,beta,-1,1,44.199368789328446
250,beta,-1,1,37.3626229195523
250,beta,-1,1,35.2845949784701
250,beta,-1,1,39.288834164123195
250,beta,-1,1,36.3613541469718
250,beta,-1,1,50.81453567066219
250,beta,-1,1,45.01869604977227
250,beta,-1,1,42.851755317973115
250,beta,-1,1,40.085363138438524
250,beta,-1,1,41.89163441292584
250,beta,-1,1,35.77759652258607
250,beta,-1,1,50.214060837622256
250,beta,-1,1,48.27410118880816
250,beta,-1,1,55.664827409276214
250,beta,-1,1,46.54210971937985
250,beta,-1,1,49.13300999996635
250,beta,-1,1,38.8492518511328
250,beta,-1,1,35.752387853951575
250,beta,-1,1,36.317305274464275
250,beta,-1,1,45.73543822076691
250,beta,-1,1,55.09614350170938
250,beta,-1,1,42.37846835366296
250,beta,-1,1,34.577942244870265
250,beta,-1,1,40.029686149104066
250,beta,-1,1,46.04837164788042
250,beta,-1,1,47.55073762959046
250,beta,-1,1,46.71819446434784
250,beta,-1,1,36.83899575655406
250,beta,-1,1,45.65640537268494
250,beta,-1,1,35.62420041508079
250,beta,-1,1,46.14978311866522
250,beta,-1,1,38.463771453167624
250,beta,-1,1,39.6305752857725
250,beta,-1,1,48.56506146739241
250,beta,-1,1,34.4702207877159
250,beta,-1,1,57.69370951143738
250,beta,-1,1,39.58196921655441
250,beta,-1,1,43.94773732856813
250,beta,-1,1,35.487572253543675
250,beta,-1,1,41.7026552807337
250,beta,-1,1,59.212661506919495
250,beta,-1,1,63.67125225674865
250,beta,-1,1,41.163260534605804
250,beta,-1,1,42.65197440412384
250,beta,-1,1,29.7787048307039
250,beta,-1,1,37.78119067284768
250,beta,-1,1,37.87312257237599
250,beta,-1,1,30.209262893180963
250,beta,-1,1,46.57414146551216
250,beta,-1,1,49.43005849525692
250,beta,-1,1,45.42820077794021
250,beta,-1,1,40.34622648179821
250,beta,-1,1,40.00136578327964
250,beta,-1,1,42.159493960265976
250,beta,-1,1,38.78001594484437
250,beta,-1,1,57.374737334311774
250,beta,-1,1,43.69018994678618
250,beta,-1,1,42.610575113689706
250,beta,-1,1,53.7384634127497
250,beta,-1,1,40.93006196615955
250,beta,-1,1,34.659200749118966
250,beta,-1,1,40.12422253390377
250,beta,-1,1,53.59478141277061
250,beta,-1,1,36.419825713465855
250,beta,-1,1,32.18338663197182
